station_id,name,state,lat,lon,altitude,from_year,tier,slug,focus,retrieved
165,Abtenau,Salzburg,47.56667,13.34333,709,1963,bronze,abtenau,false,2026-09-03
2,Aigen im Ennstal,Steiermark,47.53278,14.13826,641,1939,silber,aigen,true,2026-09-03
4,Amstetten,Niederösterreich,48.10889,14.895,266,1936,silber,amstetten,false,2026-09-03
162,Aspach,Oberösterreich,48.18306,13.3,427,1969,bronze,aspach,false,2026-09-03
170,Aspang,Niederösterreich,47.575,16.10139,454,1948,silber,aspang,false,2026-09-03
6,Bad Bleiberg,Kärnten,46.62528,13.68444,908.7,1896,platin,bleiberg,false,2026-09-03
21,Bad Eisenkappel,Kärnten,46.49056,14.59333,623,1967,bronze,eisenkappel,false,2026-09-03
7,Bad Gastein,Salzburg,47.11056,13.13336,1092,1926,silber,gastein,false,2026-09-03
8,Bad Gleichenberg,Steiermark,46.87222,15.90361,269,1895,platin,gleichenberg,false,2026-09-03
9,Bad Goisern,Oberösterreich,47.62194,13.64472,538,1936,silber,goisern,false,2026-09-03
132,Bad Ischl,Oberösterreich,47.70619,13.64714,506.7,1936,silber,ischl,false,2026-09-03
10,Bad Mitterndorf,Steiermark,47.55333,13.93472,814,1970,bronze,mitterndorf,false,2026-09-03
13,Bernstein,Burgenland,47.40833,16.26139,630.8,1949,silber,bernstein,false,2026-09-03
14,Bischofshofen,Salzburg,47.40667,13.22111,549.9,1936,silber,bischofshofen,false,2026-09-03
181,Bludenz,Vorarlberg,47.14778,9.82944,571,1936,silber,bludenz,false,2026-09-03
15,Bregenz,Vorarlberg,47.49917,9.74611,424,1936,silber,bregenz,false,2026-09-03
16,Brenner,Tirol,47.00722,11.51083,1412,1948,silber,brenner,false,2026-09-03
17,Bruck an der Mur,Steiermark,47.403056,15.233611,489,1895,platin,bruck-an-der-mur,false,2026-09-03
18,Bruckneudorf,Burgenland,48.01278,16.845,165.6,1939,silber,bruckneudorf,false,2026-09-03
19,Dellach,Kärnten,46.74189,13.08286,628.2,1962,bronze,dellach,false,2026-09-03
116,Deutschlandsberg,Steiermark,46.82167,15.22694,354,1895,platin,deutschlandsberg,true,2026-09-03
137,Döllach,Kärnten,46.95806,12.9025,1071,1926,silber,doellach,false,2026-09-03
22,Eisenstadt Nordost,Burgenland,47.85417,16.53833,184,1936,silber,eisenstadt,true,2026-09-03
23,Enns,Oberösterreich,48.19583,14.45028,317,1948,silber,enns,false,2026-09-03
91,Feistritz ob Bleiburg,Kärnten,46.561389,14.765,523,1961,bronze,feistritz,false,2026-09-03
24,Feldkirch,Vorarlberg,47.27111,9.60972,438.4,1895,platin,feldkirch,false,2026-09-03
120,Ferlach,Kärnten,46.53111,14.31417,459.1,1953,bronze,ferlach,false,2026-09-03
